address_hand,double_hypen,address,lastSoldPrice,lastSoldDate
1142-S-Williams-St-80209,False,,,
1641-S-Gilpin-St-80209,False,,,
1284-S-High-St-80209,False,,,
1103-S-High-St-80209,False,,,
1158-S-Williams-St-80209,False,,,
321-S-Race-St-80209,False,,,
1208-S-Gaylord-St-80209,True,,,
1142-S-Vine-St-80209,False,,,
1243-S-Williams-St-80209,False,,,
387-S-York-St-80209,True,,,
535-S-Race-St-80209,False,,,
1175-S-High-St-80209,False,,,
1126-S-Williams-St-80209,False,,,
530-S-York-St-80209,True,,,
1225-S-High-St-80209,False,,,
439-S-York-St-80209,True,,,
1200-S-High-St-80209,False,,,
1994-S-Race-St-80209,False,,,
1174-S-York-St-80209,True,,,
1080-S-Franklin-St-80209,False,,,
1209-S-Vine-St-80209,False,,,
1201-S-Gaylord-St-80209,True,,,
1118-S-Race-St-80209,False,,,
1159-S-York-St-80209,True,,,
1185-S-Williams-St-80209,False,,,
505-S-Gaylord-St-80209,True,,,
1180-S-Race-St-80209,False,,,
1131-S-York-St-80209,True,,,
1120-S-York-St-80209,True,,,
986-S-Gilpin-St-80209,False,,,
851-S-Vine-St-80209,False,,,
1261-S-Gaylord-St-80209,True,,,
720-S-Williams-St-80209,False,,,
900-S-Franklin-St-80209,False,,,
1111-S-Gilpin-St-80209,False,,,
1158-S-Vine-St-80209,False,,,
1273-S-York-St-80209,True,,,
2350-S-York-St-80209,True,,,
307-S-Gilpin-St-80209,False,,,
1169-S-Gaylord-St-80209,True,,,
1190-S-Franklin-St-80209,False,,,
1125-S-Vine-St-80209,False,,,
1281-S-York-St-80209,True,,,
1132-S-Race-St-80209,False,,,
1100-S-Franklin-St-80209,False,,,
1165-S-York-St-80209,True,,,
443-S-Vine-St-80209,False,,,
119-S-High-St-80209,False,,,
1218-S-Gaylord-St-80209,True,,,
1174-S-Gaylord-St-80209,True,,,
1115-S-Williams-St-80209,False,,,
1145-S-Williams-St-80209,False,,,
1160-S-Gaylord-St-80209,True,,,
1603-S-Franklin-St-80209,False,,,
1283-S-Williams-St-80209,False,,,
2204-S-Gaylord-St-80209,True,,,
2002-S-Race-St-80209,False,,,
744-S-Gaylord-St-80209,True,,,
503-S-Williams-St-80209,False,,,
1167-S-High-St-80209,False,,,
571-S-Race-St-80209,False,,,
1937-S-Race-St-80209,False,,,
632-S-York-St-80209,True,,,
373-S-Franklin-St-80209,False,,,
1126-S-York-St-80209,True,,,
1265-S-Vine-St-80209,False,,,
1165-S-Williams-St-80209,False,,,
1250-S-Gaylord-St-80209,True,,,
743-S-Race-St-80209,False,,,
1124-S-High-St-80209,False,,,
534-S-Gaylord-St-80209,True,,,
